Produit,Gluten,Lupin,Soja,Lait,Oeufs,Celeri,Fruits_a_coque,Arachides,Sesame,Moutarde,Poissons,Mollusques,Crustaces,Sulfites
SAUCE 1954 GOUT GRILLE,Absent,Absent,Absent,Absent,Présent,Absent,Absent,Absent,Absent,Présent,Absent,Absent,Absent,Absent
SAUCE SPICY ANDALOUSE,Présent,Absent,Présent,Absent,Présent,Absent,Absent,Absent,Absent,Présent,Absent,Absent,Absent,Absent
SAUCE BBQ,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Présent,Absent,Absent,Absent,Absent
SAUCE CHILI GOUT CHEESE,Absent,Absent,Absent,Présent,Présent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
SAUCE CURRY MANGO,Traces,Absent,Absent,Présent,Présent,Présent,Absent,Absent,Absent,Présent,Absent,Absent,Absent,Absent
SAUCE CREAMY RANCH,Absent,Absent,Absent,Présent,Présent,Absent,Absent,Absent,Absent,Présent,Absent,Absent,Absent,Absent
SAUCE MOUTARDE MIEL,Absent,Absent,Absent,Absent,Présent,Absent,Absent,Absent,Absent,Présent,Absent,Absent,Absent,Absent
KETCHUP,Absent,Absent,Absent,Absent,Absent,Présent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
MAYONNAISE,Absent,Absent,Absent,Absent,Présent,Absent,Absent,Absent,Absent,Présent,Absent,Absent,Absent,Absent
SAUCE POUR LES FRITES,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Présent,Absent,Absent,Absent,Absent

KING FUSION PEANUT M&M'S,Traces,Absent,Présent,Présent,Traces,Absent,Traces,Présent,Absent,Absent,Absent,Absent,Absent,Absent
BABY CHURROS NUTELLA,Présent,Absent,Présent,Présent,Absent,Absent,Présent,Absent,Absent,Traces,Absent,Absent,Absent,Absent
BABY CHURROS SPECULOOS LOTUS,Présent,Absent,Présent,Traces,Absent,Absent,Traces,Absent,Absent,Traces,Absent,Absent,Absent,Absent
MADELEINE HELLO KITTY,Présent,Absent,Traces,Présent,Présent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
MUFFIN OREO,Présent,Absent,Présent,Présent,Présent,Absent,Traces,Absent,Absent,Traces,Absent,Absent,Absent,Absent
KING FUSION OREO,Présent,Absent,Présent,Présent,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
KING FUSION SPECULOOS LOTUS BISCOFF,Présent,Absent,Présent,Présent,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
KING FUSION DUBAI STYLE,Présent,Absent,Présent,Présent,Absent,Absent,Présent,Absent,Absent,Traces,Absent,Absent,Absent,Absent
MINI KING FUSION KITKAT,Présent,Absent,Présent,Présent,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
KING FUSION ANDROS BE NUTS & CACAHUETES,Traces,Absent,Traces,Présent,Absent,Absent,Traces,Présent,Absent,Absent,Absent,Absent,Absent,Absent
DONUT SPECULOOS LOTUS BISCOFF,Présent,Absent,Traces,Présent,Absent,Absent,Traces,Absent,Absent,Traces,Absent,Absent,Absent,Absent
PETIT SHAKE VANILLE,Absent,Absent,Absent,Présent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
CREAMY SHAKE CARAMEL ECLATS NOISETTES,Absent,Absent,Absent,Présent,Absent,Absent,Présent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
CREAMY SHAKE CHOCOLAT ECLATS NOISETTES,Absent,Absent,Absent,Présent,Absent,Absent,Présent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
KING SUNDAE (caramel/chocolat/fraise/framboise/nature),Absent,Absent,Absent,Présent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
KING FUSION 60 ANS NUTELLA,Présent,Absent,Présent,Présent,Absent,Absent,Présent,Absent,Absent,Traces,Absent,Absent,Absent,Absent
MINI KING FUSION 60 ANS NUTELLA,Présent,Absent,Présent,Présent,Absent,Absent,Présent,Absent,Absent,Traces,Absent,Absent,Absent,Absent
MINI KING FUSION M&M'S / KING FUSION M&M'S,Traces,Absent,Présent,Présent,Traces,Absent,Traces,Présent,Absent,Absent,Absent,Absent,Absent,Absent
KING FUSION LION,Présent,Absent,Présent,Présent,Absent,Absent,Traces,Absent,Absent,Absent,Absent,Absent,Absent,Absent
KING FUSION SNICKERS,Présent,Absent,Présent,Présent,Absent,Absent,Traces,Présent,Absent,Absent,Absent,Absent,Absent,Absent
MINI KING FUSION VANILLE / KING FUSION VANILLE,Absent,Absent,Absent,Présent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
